Year,Tm,Lg,G,W,L,W-L%,R,Attendance
,,,,,,,,
2019,Chicago White Sox,AL Central,161,72,89,0.447,708,"1,649,775"
2018,Chicago White Sox,AL Central,162,62,100,0.383,656,"1,608,817"
2017,Chicago White Sox,AL Central,162,67,95,0.414,706,"1,629,470"
2016,Chicago White Sox,AL Central,162,78,84,0.481,686,"1,746,293"
2015,Chicago White Sox,AL Central,162,76,86,0.469,622,"1,755,810"
2014,Chicago White Sox,AL Central,162,73,89,0.451,660,"1,650,821"
2013,Chicago White Sox,AL Central,162,63,99,0.389,598,"1,768,413"
2012,Chicago White Sox,AL Central,162,85,77,0.525,748,"1,965,955"
2011,Chicago White Sox,AL Central,162,79,83,0.488,654,"2,001,117"
2010,Chicago White Sox,AL Central,162,88,74,0.543,752,"2,194,378"
