Stadium,Facility,Family,Fan Experience,Food and Drink,Overall
Oriole Park at Camden Yards,0.757802747,0.752107926,0.873283396,0.687303253,3.070497321
PNC Park,0.743190661,0.786538462,0.926634146,0.607894737,3.064258006
AT&T Park,0.693961952,0.742471443,0.918824701,0.696969697,3.052227794
Safeco Field,0.702099738,0.736654804,0.853111712,0.694369973,2.986236227
Kauffman Stadium,0.730978261,0.771019678,0.873270211,0.549473684,2.924741834
Great American Ball Park,0.717444717,0.730711044,0.88752784,0.588235294,2.923918895
Progressive Field,0.713091922,0.699588477,0.842741935,0.666666667,2.922089002
Coors Field,0.636495293,0.766743649,0.880914826,0.626043406,2.910197174
Petco Park,0.630173565,0.720792079,0.819393042,0.678632479,2.848991165
Citizens Bank Park,0.674731183,0.609561753,0.854956753,0.699582754,2.838832443
Busch Stadium,0.744058501,0.720754717,0.893911095,0.471615721,2.830340033
Comerica Park,0.653084983,0.751277683,0.820210787,0.604790419,2.829363872
Miller Park,0.559290383,0.750819672,0.814587594,0.698025552,2.8227232
Globe Life Park,0.7100271,0.767772512,0.816216216,0.527186761,2.82120259
Chase Field,0.69104355,0.705714286,0.778833107,0.538860104,2.714451046
Target Field,0.728506787,0.388888889,0.812865497,0.728222997,2.65848417
Citi Field,0.569429494,0.624020888,0.795669824,0.618953603,2.608073809
Angel Stadium of Anaheim,0.582222222,0.761290323,0.753765553,0.448094612,2.545372711
Minute Maid Park,0.599702381,0.626373626,0.810562572,0.443742099,2.480380678
Guaranteed Rate Field,0.413427562,0.549019608,0.719063545,0.749622926,2.431133641
Fenway Park,0.507911392,0.699332991,0.805107203,0.396061269,2.408412856
Tropicana Field,0.570652174,0.69261477,0.65990991,0.411371237,2.334548092
Nationals Park,0.469043152,0.556521739,0.746806039,0.457817773,2.230188703
Marlins Park,0.470108696,0.479224377,0.727835052,0.474613687,2.15178181
Wrigley Field,0.367684478,0.597532768,0.781116751,0.370629371,2.116963368
Yankee Stadium,0.505773672,0.442307692,0.681514477,0.3375,1.967095841
Dodger Stadium,0.072146119,0.603896104,0.69088812,0.323890463,1.690820805
Rogers Centre,0.568042142,0.426791277,0.70619469,-0.08,1.62102811
SunTrust Park,0.11627907,0.515570934,0.612903226,0.290780142,1.535533372
Oakland-Alameda County Coliseum,-0.031818182,0.507936508,0.434920635,-0.051136364,0.859902597
